Date,Date,XRP-USD_pred,XRP-USD_close,SHIB-USD_pred,SHIB-USD_close,SOL-USD_pred,SOL-USD_close,BTC-USD_pred,BTC-USD_close,pred_date
2025-02-14 11:30:00,2025-02-14 11:30:00,2.7259653514828632,2.75733,1.6504418069471328e-05,1.653e-05,199.56345352593283,199.98,96889.34328239148,96900.0,2025-02-28 11:30:00
2025-02-14 11:31:00,2025-02-14 11:31:00,2.7212213507275953,2.76663,1.651150495431755e-05,1.657e-05,199.51605365989784,200.02,96882.07496987759,96910.3,2025-02-28 11:31:00
2025-02-14 11:32:00,2025-02-14 11:32:00,2.7443933335139885,2.77,1.655348996730313e-05,1.657e-05,199.66295418566764,200.21,96891.14133466943,96902.6,2025-02-28 11:32:00
2025-02-14 11:33:00,2025-02-14 11:33:00,2.7385455652427373,2.77,1.6548599484783387e-05,1.657e-05,199.73086009638752,200.16,96879.77946423755,96902.6,2025-02-28 11:33:00
2025-02-14 11:34:00,2025-02-14 11:34:00,2.7478932769227677,2.77298,1.653215274783456e-05,1.657e-05,199.31299017005492,200.17,96856.31048051926,96911.8,2025-02-28 11:34:00
2025-02-14 11:35:00,2025-02-14 11:35:00,2.7479922228333886,2.76451,1.654152459025749e-05,1.659e-05,199.49427947314524,200.2,96857.36472011087,96954.8,2025-02-28 11:35:00
2025-02-14 11:36:00,2025-02-14 11:36:00,2.7521078963891745,2.76171,1.6535312338920007e-05,1.656e-05,199.47565384027635,200.2,96891.10252372705,96904.3,2025-02-28 11:36:00
2025-02-14 11:37:00,2025-02-14 11:37:00,2.7461469613160303,2.75838,1.6532036656380897e-05,1.655e-05,199.46976199191977,199.9,96835.3110532519,96904.3,2025-02-28 11:37:00
2025-02-14 11:38:00,2025-02-14 11:38:00,2.754279884113685,2.76228,1.653253111250412e-05,1.656e-05,199.5440540493022,199.91,96853.77486216057,96904.3,2025-02-28 11:38:00
2025-02-14 11:39:00,2025-02-14 11:39:00,2.752802328589815,2.75828,1.6536643322700665e-05,1.656e-05,199.59109388850015,200.07,96831.86555529345,96904.2,2025-02-28 11:39:00
2025-02-14 11:40:00,2025-02-14 11:40:00,2.753427890342621,2.75501,1.6509080312808403e-05,1.653e-05,199.717800515094,200.07,96834.1980238613,96904.3,2025-02-28 11:40:00
2025-02-14 11:41:00,2025-02-14 11:41:00,2.74782609920386,2.75,1.6483678700804702e-05,1.653e-05,199.77759981134616,200.01,96821.57653245733,96918.9,2025-02-28 11:41:00
2025-02-14 11:42:00,2025-02-14 11:42:00,2.743067346119169,2.74427,1.646919593679224e-05,1.656e-05,199.81356072623007,199.91,96835.10074866569,96910.1,2025-02-28 11:42:00
2025-02-14 11:43:00,2025-02-14 11:43:00,2.7257782360463567,2.74001,1.650593431515183e-05,1.654e-05,199.76854331282962,199.73,96847.35345175679,96903.0,2025-02-28 11:43:00
2025-02-14 11:44:00,2025-02-14 11:44:00,2.728599719923378,2.73542,1.6482360937817512e-05,1.653e-05,199.9180275965622,199.34,96847.9928858908,96817.0,2025-02-28 11:44:00
2025-02-14 11:45:00,2025-02-14 11:45:00,2.71396267321323,2.74052,1.649075137698548e-05,1.65e-05,199.54990249883804,199.56,96814.49034296641,96817.9,2025-02-28 11:45:00
2025-02-14 11:46:00,2025-02-14 11:46:00,2.7235404188812113,2.74051,1.6468563890869893e-05,1.65e-05,199.97670524723551,199.6,96823.14348009911,96818.0,2025-02-28 11:46:00
2025-02-14 11:47:00,2025-02-14 11:47:00,2.7090843317823174,2.73469,1.6470047517367204e-05,1.65e-05,199.8566706290203,199.6,96818.84843586702,96818.0,2025-02-28 11:47:00
2025-02-14 11:48:00,2025-02-14 11:48:00,2.6989761222662776,2.72863,1.647262969243263e-05,1.649e-05,199.60130096514268,199.29,96789.79353678077,96849.3,2025-02-28 11:48:00
2025-02-14 11:49:00,2025-02-14 11:49:00,2.6881598107793714,2.72773,1.645743639422583e-05,1.649e-05,198.99525578949226,199.1,96828.67304024933,96817.9,2025-02-28 11:49:00
2025-02-14 11:50:00,2025-02-14 11:50:00,2.6828265533701914,2.73536,1.6443225213491843e-05,1.648e-05,198.7414730350771,199.43,96771.03798674048,96858.6,2025-02-28 11:50:00
2025-02-14 11:51:00,2025-02-14 11:51:00,2.6943663440892873,2.74048,1.6418264400054535e-05,1.65e-05,199.21231651965755,199.63,96797.02018856088,96879.5,2025-02-28 11:51:00
2025-02-14 11:52:00,2025-02-14 11:52:00,2.6961655131884643,2.73963,1.6417768569838274e-05,1.65e-05,199.08895323226497,199.5,96818.50943986906,96879.6,2025-02-28 11:52:00
2025-02-14 11:53:00,2025-02-14 11:53:00,2.6907376647090704,2.73626,1.6418330628233695e-05,1.65e-05,199.04525367601332,199.48,96812.98210471784,96862.1,2025-02-28 11:53:00
2025-02-14 11:54:00,2025-02-14 11:54:00,2.7017383163443593,2.73265,1.6427203061587876e-05,1.65e-05,198.98461941089977,199.43,96811.67048889337,96862.1,2025-02-28 11:54:00
2025-02-14 11:55:00,2025-02-14 11:55:00,2.691009593737951,2.72766,1.6425854237887427e-05,1.653e-05,198.7806497414543,199.6,96790.9243213471,96877.2,2025-02-28 11:55:00
2025-02-14 11:56:00,2025-02-14 11:56:00,2.7016809013411205,2.73471,1.64586364393611e-05,1.653e-05,198.73399101725275,199.62,96817.55630723764,96877.3,2025-02-28 11:56:00
2025-02-14 11:57:00,2025-02-14 11:57:00,2.723401930035552,2.73237,1.6453101852670354e-05,1.653e-05,198.8303841787958,199.63,96804.8795810242,96904.4,2025-02-28 11:57:00
2025-02-14 11:58:00,2025-02-14 11:58:00,2.7124769837332106,2.72987,1.6459118124958623e-05,1.653e-05,198.50887756458258,199.62,96801.33870600523,96904.5,2025-02-28 11:58:00
2025-02-14 11:59:00,2025-02-14 11:59:00,2.725768276501743,2.73263,1.6462034513221104e-05,1.652e-05,198.4976702775592,199.61,96802.67935226699,96905.1,2025-02-28 11:59:00
2025-02-14 12:00:00,2025-02-14 12:00:00,2.723946427787385,2.72771,1.646164744402149e-05,1.652e-05,198.42165561299308,199.3,96800.41229972446,96877.3,2025-02-28 12:00:00
