Date,Date,ADA-USD_pred,ADA-USD_close,SOL-USD_pred,SOL-USD_close,XRP-USD_pred,XRP-USD_close,ETH-USD_pred,ETH-USD_close,BTC-USD_pred,BTC-USD_close,pred_date
2025-02-14 13:06:00,2025-02-14 13:06:00,0.7997920552195841,0.800144,196.6690238302885,196.93,2.6834375559335744,2.69846,2691.1414343086512,2689.21,96663.32398125634,96640.0,2025-02-28 13:06:00
2025-02-14 13:07:00,2025-02-14 13:07:00,0.7999556457645757,0.800274,196.6321377987533,197.04,2.6818965877121164,2.69649,2691.1855701698737,2689.78,96666.72512270298,96634.1,2025-02-28 13:07:00
2025-02-14 13:08:00,2025-02-14 13:08:00,0.799963042208992,0.800656,196.81428768276496,196.8,2.6807021902173944,2.69865,2692.2420097445306,2688.54,96665.48034750318,96592.0,2025-02-28 13:08:00
2025-02-14 13:09:00,2025-02-14 13:09:00,0.8008460752612444,0.8008,196.3769905096083,196.92,2.684872538021574,2.69779,2691.954781095758,2688.4,96663.40818652061,96594.7,2025-02-28 13:09:00
2025-02-14 13:10:00,2025-02-14 13:10:00,0.8010203474588234,0.80198,196.62119081484767,196.92,2.685799322446227,2.70311,2692.0119670462186,2689.87,96661.26217452034,96592.0,2025-02-28 13:10:00
2025-02-14 13:11:00,2025-02-14 13:11:00,0.801537607060706,0.802235,196.5531104531302,197.16,2.687312286961279,2.7052,2692.4508042711795,2691.23,96664.8131444983,96592.0,2025-02-28 13:11:00
2025-02-14 13:12:00,2025-02-14 13:12:00,0.8018638256841474,0.802384,196.85360858937304,197.19,2.7017616148079577,2.69801,2693.2915151345037,2691.65,96660.58068225773,96607.8,2025-02-28 13:12:00
2025-02-14 13:13:00,2025-02-14 13:13:00,0.8027932108291715,0.801714,196.95556132338524,197.17,2.691457329114449,2.69758,2693.6051106422037,2691.01,96670.92680043698,96596.0,2025-02-28 13:13:00
2025-02-14 13:14:00,2025-02-14 13:14:00,0.8022716139634614,0.801714,196.93778478341332,197.17,2.6985340935961717,2.70115,2693.767075884362,2691.01,96668.31554292426,96596.1,2025-02-28 13:14:00
2025-02-14 13:15:00,2025-02-14 13:15:00,0.8021614916814553,0.801816,196.93880027771544,197.27,2.6917220164956737,2.70277,2693.982029694271,2691.87,96673.68301740158,96596.1,2025-02-28 13:15:00
2025-02-14 13:16:00,2025-02-14 13:16:00,0.8023468195045308,0.800736,196.94402283371372,197.02,2.6917531663359466,2.70101,2694.273321153178,2691.01,96667.41313356995,96596.1,2025-02-28 13:16:00
2025-02-14 13:17:00,2025-02-14 13:17:00,0.8016884718418466,0.800653,196.8068189392169,197.08,2.689791847792995,2.70294,2694.3867771718824,2690.0,96665.08179844265,96596.0,2025-02-28 13:17:00
2025-02-14 13:18:00,2025-02-14 13:18:00,0.8012361676356489,0.800653,196.85996210517263,197.13,2.6810099434508676,2.70565,2694.009196101614,2690.0,96663.57139011515,96596.1,2025-02-28 13:18:00
2025-02-14 13:19:00,2025-02-14 13:19:00,0.8013189405801786,0.801944,196.87953375006705,197.1,2.681339695659998,2.70227,2694.536762004249,2689.18,96664.09001663771,96596.1,2025-02-28 13:19:00
2025-02-14 13:20:00,2025-02-14 13:20:00,0.8016863327989981,0.801234,196.80295720579258,197.11,2.678692239585352,2.7005,2694.2783264642803,2688.76,96666.6710262363,96596.0,2025-02-28 13:20:00
2025-02-14 13:21:00,2025-02-14 13:21:00,0.8013652219879609,0.801267,196.9355094624323,197.04,2.6685316744625798,2.70228,2694.6550759450442,2688.76,96666.67599468475,96596.0,2025-02-28 13:21:00
2025-02-14 13:22:00,2025-02-14 13:22:00,0.8014028888681372,0.80154,196.73499599980892,196.98,2.6728013519189653,2.70228,2693.564531834843,2688.77,96664.45994743519,96596.0,2025-02-28 13:22:00
