Date,Date,JPM_pred,JPM_close,GS_pred,GS_close,BAC_pred,BAC_close,pred_date
2024-09-12,2024-09-12,0.7495673894882198,0.6963468423658316,0.8362720012664797,0.6574534883748029,0.7164076566696164,0.6265883761612651,2024-09-26
2024-09-13,2024-09-13,0.7286853790283199,0.6396148654734477,0.8100850582122805,0.7073066167084396,0.6774122714996335,0.6069680102685734,2024-09-27
2024-09-16,2024-09-16,0.6705406904220577,0.7276990274731767,0.7421994209289553,0.7696995517658648,0.697971940040588,0.6748849286398763,2024-09-30
2024-09-17,2024-09-17,0.6808456182479854,0.7622858429873054,0.801221013069153,0.7720252185468336,0.7188344001770016,0.7428018470111791,2024-10-01
2024-09-18,2024-09-18,0.792869925498962,0.7194876586164503,0.961933493614197,0.7638340582562687,0.7678885459899899,0.753366971153278,2024-10-02
2024-09-19,2024-09-19,0.8311647176742549,0.7928911909458858,0.8494675159454348,0.9584950659565682,0.7686694860458371,0.9420252707211086,2024-10-03
2024-09-20,2024-09-20,0.8763685226440425,0.8080698400413452,0.8806332349777224,0.9038888813374099,0.7441278696060177,0.8514693795593715,2024-10-04
2024-09-23,2024-09-23,0.8578494787216182,0.8167788443452692,0.9618283510208132,0.8935745693222801,0.7641611099243161,0.7910983994897902,2024-10-07
2024-09-24,2024-09-24,0.9132903814315791,0.82051111019925,0.9111032485961916,0.8997427499605901,0.8379328250885006,0.7277093914651012,2024-10-08
2024-09-25,2024-09-25,1.0149269104003902,0.7856758609394913,0.9253804683685305,0.8301709197643645,0.9438424110412594,0.6975239014303105,2024-10-09
2024-09-26,2024-09-26,1.0992959737777706,0.7754735663160064,1.050786375999451,0.8886196182408642,1.0714230537414546,0.7382745156072,2024-10-10
2024-09-27,2024-09-27,1.1186906099319454,0.7933892103710518,1.0315846204757693,0.9046980111722608,1.1248029470443721,0.7201634531633796,2024-10-11
2024-09-30,2024-09-30,1.1233488321304317,0.8023470323985745,1.1326152086257937,0.8703160407310638,1.1574726104736324,0.7624227918465056,2024-10-14
2024-10-01,2024-10-01,1.0927604436874385,0.7072952061821441,1.1167905330657961,0.8203618099343526,1.1138134002685542,0.6929965700263315,2024-10-15
2024-10-02,2024-10-02,1.0858905315399165,0.7135156492721123,1.100543022155762,0.8387658696467178,1.1278387308120723,0.6945052945325679,2024-10-16
2024-10-03,2024-10-03,1.1057280302047725,0.6622576622989005,1.0757727622985842,0.7792050440763985,1.1444809436798091,0.6975239014303105,2024-10-17
2024-10-04,2024-10-04,1.1390610933303829,0.8435117744913602,1.064349412918091,0.8708218631766912,1.1461540460586543,0.8273211033200659,2024-10-18
2024-10-07,2024-10-07,1.1550253629684444,0.8362511350846806,1.1089564561843874,0.865361089649648,1.1889110803604122,0.8046821305296317,2024-10-21
2024-10-08,2024-10-08,1.1923691034317012,0.8317451536241389,1.056419610977173,0.8850801016424916,1.1723163127899165,0.8001542201830179,2024-10-22
2024-10-09,2024-10-09,1.0853779315948482,0.8985888063394376,1.0044155120849612,0.9721466896439215,1.1383897066116329,0.8393949519684013,2024-10-23
