Date,Date,XOM_pred,XOM_close,CVX_pred,CVX_close,BP_pred,BP_close,pred_date
2024-09-12,2024-09-12,110.09300104996267,110.3234634399414,135.13634071471787,137.80429077148438,31.659215520542983,31.079557418823242,2024-09-26
2024-09-13,2024-09-13,104.69619341439363,110.24411010742188,134.88843823834807,139.1901397705078,31.32998646043723,31.335437774658203,2024-09-27
2024-09-16,2024-09-16,101.28128800612343,111.79139709472656,134.19630372890583,140.6551971435547,30.614029333961376,31.788148880004883,2024-09-30
2024-09-17,2024-09-17,102.47045011159358,113.2494125366211,133.89213412267722,141.9618682861328,31.193597353326208,32.03418731689453,2024-10-01
2024-09-18,2024-09-18,103.78550723319127,113.64615631103516,134.08322587901412,142.50631713867188,31.343413651157334,31.916088104248047,2024-10-02
2024-09-19,2024-09-19,105.84104653285225,115.05458068847656,134.84554215892354,143.52590942382812,31.042245217855463,32.2408561706543,2024-10-03
2024-09-20,2024-09-20,109.87020214845643,114.33052825927734,138.68113027554762,144.2089385986328,31.196951303849595,32.12276077270508,2024-10-04
2024-09-23,2024-09-23,111.31277062547072,116.40349578857422,142.5137785677607,146.05015563964844,31.30260793101726,32.33927536010742,2024-10-07
2024-09-24,2024-09-24,114.92084747952822,116.09602355957031,142.93208309282022,145.96107482910156,31.420795843615252,32.30975341796875,2024-10-08
2024-09-25,2024-09-25,117.05642664073521,113.83460235595703,141.06230246866212,142.51620483398438,32.031647199944075,31.177974700927734,2024-10-09
2024-09-26,2024-09-26,116.03058649593108,111.88066864013672,141.5038640951941,140.55621337890625,31.623494551006395,30.302078247070312,2024-10-10
2024-09-27,2024-09-27,114.11333306069774,114.87604522705078,143.1937528223751,144.0208740234375,31.82645587470297,30.922094345092773,2024-10-11
2024-09-30,2024-09-30,112.90560521289336,116.26464080810547,142.88905388927142,145.78289794921875,31.555255527575724,30.892568588256836,2024-10-14
2024-10-01,2024-10-01,113.25480488830468,118.95255279541016,142.73167898702832,148.1883544921875,31.124199943879216,31.58147621154785,2024-10-15
2024-10-02,2024-10-02,114.52860017005057,120.52958679199219,148.20116376473436,149.42572021484375,31.307223849827153,31.857038497924805,2024-10-16
2024-10-03,2024-10-03,115.43276342287193,121.5809555053711,150.87015427655163,149.7227020263672,31.45440801913289,31.94561195373535,2024-10-17
2024-10-04,2024-10-04,118.1836277699577,123.81261444091797,150.47369973889508,149.2178497314453,31.070984959307722,32.35895919799805,2024-10-18
2024-10-07,2024-10-07,121.37368973787093,124.34822082519531,149.63356824822,149.59400939941406,30.983009446039954,32.614837646484375,2024-10-21
2024-10-08,2024-10-08,123.17277964657619,121.04535675048828,150.09329695948477,147.24794006347656,31.98007854980566,31.52242660522461,2024-10-22
2024-10-09,2024-10-09,121.33034577493493,121.09494018554688,149.5979290183793,148.13885498046875,31.552311703187566,31.47321891784668,2024-10-23
2024-10-10,2024-10-10,119.09151685864032,122.13639068603516,152.056112229726,149.09906005859375,31.8573580994137,31.8275146484375,2024-10-24
2024-10-11,2024-10-11,118.07579013138799,122.6025619506836,152.65087753594054,149.89097595214844,31.832249567310125,31.601160049438477,2024-10-25
2024-10-14,2024-10-14,117.61366047964674,123.06873321533203,152.87523289042431,150.24734497070312,31.237986694625395,31.483060836791992,2024-10-28
2024-10-15,2024-10-15,117.39968322776048,119.36912536621094,152.5249765840189,146.2382354736328,32.12145058777553,30.25286865234375,2024-10-29
2024-10-16,2024-10-16,116.85555737908366,119.67660522460938,151.1383861141668,147.22813415527344,31.110144209435834,30.43985939025879,2024-10-30
2024-10-17,2024-10-17,115.50603573264453,119.36912536621094,148.5589062230656,149.67320251464844,31.126822853040238,30.823678970336914,2024-10-31
2024-10-18,2024-10-18,115.06528434050047,119.03189849853516,148.04535851873928,149.22775268554688,30.386591682514467,30.833520889282227,2024-11-01
2024-10-21,2024-10-21,114.88114810098921,119.10133361816406,148.70806615842275,149.3564453125,31.269629451220624,30.97130012512207,2024-11-04
2024-10-22,2024-10-22,115.95241824231186,119.71627044677734,148.27613869703015,149.39602661132812,30.87174446260459,31.079557418823242,2024-11-05
2024-10-23,2024-10-23,116.29115603132462,119.28977966308594,149.03435546707695,148.96046447753906,30.988606684838864,30.8138370513916,2024-11-06
2024-10-24,2024-10-24,117.60745669137535,118.61531829833984,148.19861806300972,148.93077087402344,31.049120694407403,30.80399513244629,2024-11-07
2024-10-25,2024-10-25,118.09927832205716,118.5161361694336,148.02151939542588,149.28713989257812,31.028486401176096,31.020509719848633,2024-11-08
2024-10-28,2024-10-28,117.63405676967582,117.93094635009766,147.975152976107,149.01986694335938,31.275658915513453,30.55795669555664,2024-11-11
